,symbol,marketCap,priceToBook,profitMargin,revenue,bookToPrice,BookValue,s1,s2,s3
196,FTV,23789237121,2.6,0.4042703886637921,4368373971.0,0.3846153846153846,9149706585.0,0.1178009005477837,0.19526216843019137,0.0
197,GD,53341679341,3.65,0.0787258984940922,41979889236.0,0.273972602739726,14614158723.561644,0.18815478314967307,0.24677515551410242,0.0
198,GE,115302664134,3.48,-0.05227498100687097,79994858157.0,0.28735632183908044,33132949463.793102,0.42658103277735154,0.3715733631905649,0.0
199,GILD,85550782575,4.67,0.011952606779350294,26650443562.0,0.21413276231263384,18319225390.792294,0.2358568800349303,0.27629185188647293,0.0
200,GIS,38843634971,4.51,0.1372871000795352,19018472527.0,0.22172949002217296,8612779372.727274,0.11088805492298182,0.18944632523078955,0.0
201,GL,11140348284,1.41,0.15603984302835125,5090615488.0,0.7092198581560284,7900956229.787234,0.10172345423441335,0.18144890524124332,0.7528686533757757
202,GLW,37068212571,3.35,0.093980777552811,12248751672.0,0.29850746268656714,11065138080.895521,0.14246175202514075,0.2147301083466405,0.0
203,GM,82665399247,1.74,0.07459238514395623,124690519244.0,0.5747126436781609,47508850141.95402,0.611668284520392,0.44494034167854013,0.0
204,GOOG,1582823236110,,,,,,0.0,0.0,0.0
205,GOOGL,1583496635159,6.99,0.26133365796634794,199502237839.0,0.14306151645207438,226537429922.6037,2.9166304957158533,0.9715932945950088,0.0
206,GPC,18773094537,5.8,0.0032973447153302306,16828960768.0,0.1724137931034483,3236740437.413793,0.04167247712531671,0.11613642714097862,0.0
207,GPN,58014387453,2.23,0.0850619635605606,7526215005.0,0.4484304932735426,26015420382.51121,0.3349440685030435,0.32925315739215416,0.0
208,GPS,12682528001,5.14,-0.04940299282297899,14287774737.0,0.19455252918287938,2467417899.0272374,0.03176758159760475,0.10139951546771958,0.0
209,GRMN,27571220503,4.87,0.2491617772738154,4413040572.0,0.2053388090349076,5661441581.724846,0.072890087843823,0.15359533995291416,0.0
210,GS,126861579900,1.4,0.2410604861743689,63314412043.0,0.7142857142857143,90615414214.28572,1.166657892117892,0.6144910535559235,0.7849594894714476
